county,todays_date,previous_days_covid_confirmed_patients,previous_days_suspected_covid_patients,previous_days_conversion_covid_patients,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Placer,2020-06-10,2.0,1.0,,11.0,12.0,23.0,753.0,2.0,2.0,45.0
Napa,2020-06-10,2.0,4.0,,1.0,5.0,6.0,397.0,0.0,1.0,0.0
Yolo,2020-06-10,0.0,0.0,,0.0,0.0,0.0,186.0,0.0,0.0,3.0
Glenn,2020-06-10,0.0,0.0,,1.0,0.0,1.0,47.0,0.0,0.0,
Modoc,,,,,0.0,33.0,1.0,189.0,0.0,0.0,
San Joaquin,2020-06-07,10.0,18.0,,33.0,23.0,56.0,1214.0,12.0,1.0,18.0
Kern,2020-06-08,8.0,33.0,,87.0,26.0,113.0,1756.0,29.0,5.0,81.0
Placer,2020-06-08,0.0,1.0,,11.0,11.0,22.0,753.0,3.0,2.0,48.0
Napa,2020-06-07,0.0,1.0,,1.0,2.0,3.0,397.0,1.0,0.0,2.0
Solano,2020-06-07,6.0,9.0,,13.0,17.0,30.0,707.0,4.0,1.0,46.0
Calaveras,2020-06-09,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,9.0
San Luis Obispo,2020-06-09,0.0,1.0,,3.0,2.0,5.0,453.0,2.0,0.0,24.0
Placer,2020-06-07,0.0,1.0,,10.0,24.0,34.0,753.0,3.0,3.0,46.0
Yolo,2020-06-08,0.0,0.0,,0.0,1.0,1.0,186.0,0.0,1.0,8.0
Del Norte,2020-06-08,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,1.0
Kings,2020-06-09,,2.0,,30.0,0.0,30.0,199.0,8.0,0.0,0.0
Sacramento,2020-06-09,2.0,16.0,,33.0,19.0,52.0,2413.0,13.0,7.0,87.0
Mono,2020-06-09,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Santa Clara,2020-06-10,4.0,1.0,,40.0,22.0,62.0,3375.0,16.0,5.0,220.0
Riverside,2020-06-10,99.0,93.0,,232.0,101.0,333.0,3987.0,71.0,15.0,127.0
Santa Cruz,2020-06-10,3.0,2.0,,3.0,3.0,6.0,397.0,0.0,0.0,10.0
