"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"257","Unincorporated - Hacienda Heights",307,549,547,3,5,4,3123,5584,5395,55926
"258","Unincorporated - Hawthorne",14,557,508,0,0,0,165,6563,6570,2514
"259","Unincorporated - Hi Vista",1,91,202,0,0,0,25,2277,2449,1098
"260","Unincorporated - Kagel/Lopez Canyons",8,567,675,1,71,113,155,10977,11590,1412
"261","Unincorporated - La Crescenta-Montrose",47,237,239,1,5,3,1543,7793,7903,19801
"262","Unincorporated - La Rambla",57,2747,2152,4,193,138,509,24530,21967,2075
"263","Unincorporated - La Verne",7,343,353,0,0,0,179,8775,7982,2040
"264","Unincorporated - Ladera Heights",27,382,287,1,14,7,926,13096,11626,7071
"265","Unincorporated - Lake Hughes",1,150,192,0,0,0,37,5539,5600,668
"266","Unincorporated - Lake Los Angeles",49,377,388,2,15,25,556,4279,4311,12994
"267","Unincorporated - Lake Manor",5,304,277,0,0,0,142,8643,8496,1643
"268","Unincorporated - Lennox",192,852,865,0,0,0,1471,6526,6592,22542
"269","Unincorporated - Leona Valley",6,343,327,0,0,0,85,4854,4444,1751
"270","Unincorporated - Littlerock",22,547,541,0,0,0,244,6068,6041,4021
"271","Unincorporated - Littlerock/Juniper Hills",2,154,207,0,0,0,82,6322,5647,1297
"272","Unincorporated - Littlerock/Pearblossom",32,897,887,0,0,0,179,5015,5037,3569
"273","Unincorporated - Llano",1,114,109,0,0,0,30,3421,2482,877
"274","Unincorporated - Marina del Rey",20,213,211,1,11,13,787,8363,6878,9411
"275","Unincorporated - Monrovia",32,825,859,0,0,0,289,7447,7292,3881
"276","Unincorporated - Newhall",3,1364,1062,0,0,0,19,8636,8224,220
"277","Unincorporated - North Lancaster",7,584,568,0,0,0,65,5426,5311,1198
"278","Unincorporated - North Whittier",50,598,589,2,24,23,668,7990,7832,8360
"279","Unincorporated - Northeast San Gabriel",96,399,397,5,21,19,1581,6578,6364,24036
"280","Unincorporated - Palmdale",6,713,761,0,0,0,37,4394,4763,842
"281","Unincorporated - Pearblossom/Llano",9,460,325,0,0,0,86,4397,4129,1956
"282","Unincorporated - Pellissier Village",3,485,506,0,0,0,57,9208,9360,619
"283","Unincorporated - Pomona",6,310,655,1,52,86,36,1858,5159,1938
"284","Unincorporated - Quartz Hill",58,449,392,9,70,51,645,4998,4712,12906
"285","Unincorporated - Rancho Dominguez",27,1015,971,1,38,18,284,10673,10245,2661
"286","Unincorporated - Roosevelt",1,107,60,0,0,0,30,3222,3287,931
"287","Unincorporated - Rosewood",8,622,783,0,0,0,123,9565,9455,1286
"288","Unincorporated - Rosewood/East Gardena",2,168,163,0,0,0,106,8885,9052,1193
"289","Unincorporated - Rosewood/West Rancho Dominguez",34,1012,1069,0,0,0,0,0,0,3361
"290","Unincorporated - Rowland Heights",248,486,493,5,10,7,2416,4735,4425,51022
"291","Unincorporated - San Jose Hills",179,885,879,4,20,19,1351,6681,6580,20221
"292","Unincorporated - San Pasqual",4,197,165,0,0,0,50,2457,2560,2035
"293","Unincorporated - Santa Catalina Island",3,1124,3081,0,0,0,79,29588,33336,267
"294","Unincorporated - Santa Monica Mountains",39,209,255,1,5,2,1766,9484,10100,18621
"295","Unincorporated - Saugus",5,3226,3201,0,0,0,134,86452,96680,155
"296","Unincorporated - South Antelope Valley",1,220,256,0,0,0,19,4176,3127,455
"297","Unincorporated - South El Monte",15,836,839,0,0,0,149,8301,8054,1795
"298","Unincorporated - South San Gabriel",78,882,825,5,57,40,874,9878,8723,8848
"299","Unincorporated - South Whittier",408,689,672,7,12,11,4031,6807,6673,59222
"300","Unincorporated - Southeast Antelope Valley",3,384,503,0,0,0,43,5506,5291,781
"301","Unincorporated - Stevenson Ranch",55,262,277,0,0,0,1484,7078,6931,20966
"302","Unincorporated - Sun Village",48,795,776,0,0,0,324,5368,5280,6036
"303","Unincorporated - Sunrise Village",11,849,1048,0,0,0,90,6944,7129,1296
"304","Unincorporated - Twin Lakes/Oat Mountain",7,422,417,1,60,78,180,10856,10173,1658
